feature_family,feature_name,exists_in_df
lipid_identity,ionizable_lipid,True
lipid_identity,ionizable_lipid_group,True
lipid_identity,ionizable_lipid_structural_class,True
lipid_identity,peg_lipid,True
lipid_identity,sterol_lipid,True
lipid_identity,helper_lipid,True
cargo,target_type,True
formulation,ionizable_mol_percent_est,True
formulation,helper_mol_percent_est,True
formulation,cholesterol_mol_percent_est,True
formulation,peg_mol_percent_est,True
formulation,total_structural_lipid_percent_est,True
formulation,non_peg_lipid_percent_est,True
formulation,peg_fraction_of_total_lipid_est,True
formulation,ionizable_fraction_of_non_peg_lipid_est,True
formulation,helper_fraction_of_structural_lipid_est,True
formulation,cholesterol_fraction_of_structural_lipid_est,True
formulation,ionizable_helper_ratio,True
formulation,ionizable_cholesterol_ratio,True
formulation,ionizable_peg_ratio,True
formulation,helper_cholesterol_ratio,True
formulation,helper_peg_ratio,True
formulation,cholesterol_peg_ratio,True
mixing_device,microfluidic_device_family,True
aqueous_phase,primary_aqueous_buffer,True
aqueous_phase,primary_aqueous_buffer_mM_est,True
aqueous_phase,aqueous_phase_pH,True
aqueous_phase,aqueous_buffer_acidity_proxy,True
organic_phase,organic_ethanol_percent_est,True
organic_phase,organic_phase_contains_aqueous_component,True
post_mix,organic_fraction_post_mix,True
post_mix,aqueous_fraction_post_mix,True
post_mix,post_mix_ethanol_fraction_est,True
post_mix,post_mix_buffer_concentration_est,True
post_mix,post_mix_buffer_acidity_proxy,True
downstream,has_sterile_filtration,True
downstream,storage_buffer_identity,True
flow,frr_est,True
ionizable_rdkit,ionizable_adv_MolWt,True
ionizable_rdkit,ionizable_adv_MolLogP,True
ionizable_rdkit,ionizable_adv_TPSA,True
ionizable_rdkit,ionizable_adv_NumHAcceptors,True
ionizable_rdkit,ionizable_adv_NumHDonors,True
ionizable_rdkit,ionizable_adv_NumRotatableBonds,True
ionizable_rdkit,ionizable_adv_HeavyAtomCount,True
ionizable_rdkit,ionizable_adv_FractionCSP3,True
ionizable_rdkit,ionizable_adv_RingCount,True
ionizable_rdkit,ionizable_adv_NumHeteroatoms,True
ionizable_rdkit,ionizable_adv_MolMR,True
ionizable_rdkit,ionizable_adv_FormalCharge,True
peg_rdkit,peg_adv_MolWt,True
peg_rdkit,peg_adv_MolLogP,True
peg_rdkit,peg_adv_TPSA,True
peg_rdkit,peg_adv_NumHAcceptors,True
peg_rdkit,peg_adv_NumHDonors,True
peg_rdkit,peg_adv_NumRotatableBonds,True
peg_rdkit,peg_adv_HeavyAtomCount,True
peg_rdkit,peg_adv_FractionCSP3,True
peg_rdkit,peg_adv_NumHeteroatoms,True
peg_rdkit,peg_adv_MolMR,True
peg_rdkit,peg_adv_FormalCharge,True
helper_rdkit,helper_adv_MolWt,True
helper_rdkit,helper_adv_MolLogP,True
helper_rdkit,helper_adv_TPSA,True
helper_rdkit,helper_adv_NumHAcceptors,True
helper_rdkit,helper_adv_NumHDonors,True
helper_rdkit,helper_adv_NumRotatableBonds,True
helper_rdkit,helper_adv_HeavyAtomCount,True
helper_rdkit,helper_adv_FractionCSP3,True
helper_rdkit,helper_adv_NumHeteroatoms,True
helper_rdkit,helper_adv_MolMR,True
helper_rdkit,helper_adv_FormalCharge,True
electrostatic_capacity,total_nitrogen_count,True
electrostatic_capacity,ionizable_nitrogen_count,True
electrostatic_capacity,quaternary_nitrogen_count,True
electrostatic_capacity,nitrogen_to_molecular_weight,True
electrostatic_capacity,ionizable_nitrogen_to_molecular_weight,True
